id,name,tags,problem,solution,action,files,tech-stack,cause,causeIds,effectIds,last-commit-short-sha,created-at,updated-at,model,created-by-agent
f290a4d6-7eef-4c43-aebb-f9b1569a7b7b,Code Review of llm-lean-log,"review,architecture,typescript",Review source code structure and implementation,"Comprehensive code review of monorepo with core, CLI, and visualizer packages","Analyzed project architecture, reviewed key files, assessed code quality","packages/core/src/,packages/cli/src/,packages/visualizer/src/","typescript,bun,react,vite",,,,unknown,2026-01-14T17:26:18.006Z,,,Cascade
1c5c20c7-4d1c-47ba-9b75-6bddcbea927e,Updated Common Rules Documentation,"documentation,rules,logging",Update common rules with proper git SHA and installation instructions,"Added before-run checklist with CLI installation, help command, and git SHA retrieval","Updated .windsurf/rules/common.md, .agent/rules/common.md, and README.md with enhanced logging instructions",".windsurf/rules/common.md,.agent/rules/common.md,README.md","markdown,bash,git",,,,c0f1c7d,2026-01-14T17:33:24.066Z,,,Cascade
6ec1964d-722e-4f0b-8c34-322d767765ae,Import LogEntry type from llm-lean-log-core,"refactoring,typescript,dependencies",LogEntry interface was defined locally in visualizer package instead of importing from core package,Removed local LogEntry interface definition and imported from llm-lean-log-core package,"Updated types.ts to import LogEntry from core package, added dependency to package.json, installed dependency with bun i","packages/visualizer/src/types.ts,packages/visualizer/package.json","typescript,bun,monorepo",,,,12cb0ce,2026-01-14T19:37:25.819Z,,,Cascade
af16485f-e1ad-4853-b522-9df95be18eb5,Fix TypeScript errors for optional LogEntry fields,"typescript,bugfix,utilities",TypeScript errors when passing optional LogEntry fields to utility functions,Updated parseTags and extractCode functions to accept string | undefined parameters,"Modified utils.ts to handle optional fields, added null checks, verified TypeScript compilation",packages/visualizer/src/utils.ts,"typescript,react",,,,12cb0ce,2026-01-14T19:43:31.609Z,,,Cascade
cfbba996-4c06-4739-9d4b-c49b265617ac,Fix CLI package.json for npm publication,"npm,package,build,typescript","CLI package.json had incorrect entry points, missing build script, and wrong file configuration","Added build script, updated main/module/bin fields to point to dist files, fixed files field to include dist instead of src, added prepublishOnly script","Modified package.json and tsconfig.json, tested build process, verified generated files in dist folder","packages/cli/package.json,packages/cli/tsconfig.json","npm,typescript,bun",,,,f5dccd5,2026-01-15T05:57:42.461Z,,,Cascade
2f3fca63-9299-42fd-8fc7-2ce650c64bed,convert lang-smith.md to full markdown,"docs,markdown,vi",Inconsistent and non-standard markdown formatting in lang-smith.md,"Formatted the file with proper markdown tables, code blocks (JSON and text), and standard horizontal rules",Updated docs/other-languages/vi/lang-smith.md with improved markdown structure,docs/other-languages/vi/lang-smith.md,markdown,,,,f5dccd5,2026-01-15T06:33:39.765Z,,,Antigravity
51075a35-9949-4a7c-b44c-3c2faa2c3f61,Create Memory MCP roadmap documentation,"documentation,roadmap,mcp,memory",Need to document the relationship between llm-lean-log and Memory MCP,Created roadmap document explaining how llm-lean-log integrates with Memory MCP for long-term storage and retrieval,Added memory-mcp.md to docs/roadmap/ with conceptual framework and integration patterns,docs/roadmap/memory-mcp.md,"markdown,documentation",,,,aec6c06,2026-01-15T06:57:36.640Z,,,Cascade
be5d3a82-125e-4938-82ad-2217282b3daa,Improve CLI build to single file,"cli,build,optimization",Build script was using --outdir which outputs to a directory with multiple files,Changed to --outfile with --minify flag to create a single bundled JS file (1.26MB),Updated build script in packages/cli/package.json,packages/cli/package.json,"bun,typescript",,,,70c8066,2026-01-16T06:36:49.367Z,,,gemini-2.5-pro
c390be6a-946e-47eb-a62b-725e9f8b482b,Add --human flag for help command,"cli,help,feature","Help text was always in human-readable format, making it less optimal for LLM consumption","Changed default help output to CSV format for LLM readability, added --human flag to show human-readable format","Updated helpText to CSV format, modified help command handler to check for --human flag, added unit tests","packages/cli/src/index.ts,packages/cli/src/index.test.ts","typescript,bun",,,,e9e476b,2026-01-16T06:45:52.725Z,,,gemini-cli
a66f2a65-d303-4db1-a35a-8dda596f0015,Exclude dist from coverage,"testing,coverage,config",Coverage report was including built dist/index.js files (42K+ lines) causing inaccurate coverage percentages (89% instead of 96%),Added dist directories to coveragePathIgnorePatterns in bunfig.toml to exclude bundled files from coverage,"Updated bunfig.toml with patterns: dist/**, packages/core/dist/**, packages/cli/dist/**, packages/visualizer/dist/**",bunfig.toml,"bun,testing",,,,b4d7ed0,2026-01-16T07:06:10.435Z,,,gemini-cli
6b972f20-8533-4b1d-bfab-30aa12fe7ea1,Simplify npm publish workflow,"ci,workflow,npm",Redundant npmrc configuration - workflow wrote token to ~/.npmrc but packages already have .npmrc files referencing NPM_TOKEN env var,"Removed echo command writing to ~/.npmrc, using bun publish --cwd instead of cd, packages .npmrc files handle token via env var",Updated release.yml publish steps to use simplified bun publish --cwd pattern,.github/workflows/release.yml,"github-actions,bun,npm",,,,def5120,2026-01-16T07:18:50.516Z,,,gemini-cli
9cb7c7ab-f907-451c-9d97-7983bd89a148,Translate README to Chinese,"translation,doc",README-zh.md contains Vietnamese text,Translated the Vietnamese text to Chinese,Modified README-zh.md,README-zh.md,markdown,,,,2aa6733,2026-01-17T15:27:26.084Z,,,
7d805c83-a204-41e3-bc68-9034edd2d7ae,Revert CLI Build Target,"cli, configuration, changelog",Build target was set to bun but needed to be reverted to node.,Reverted package.json build script to use --target node and updated CHANGELOG.md to reflect the change.,modify,"packages/cli/package.json, packages/cli/CHANGELOG.md","bun, markdown, json",,,,01af5e1,2026-01-17T15:36:43.219Z,,,Antigravity
